"Skola","Enhetskod","Skolkommun","Kommunkod","Typavhuvudman","Huvudman","HuvudmanOrgnr","Eleverförskoleklass","Andelflickor(%)","Elever ÅK 1-9","","","","","","","","","","","",""
"AhlaforsFriaskola","71387206","Ale","1440","Enskild","AhlaforsFriaSkolaEkonomiskförening","7696142343","000000022","..","000000258","","","","","","","","","","","",""
"Alboskolan","72616393","Ale","1440","Kommunal","Alekommun","2120001439",".",".","000000184","","","","","","","","","","","",""
"Aroseniusskolan","48529699","Ale","1440","Kommunal","Alekommun","2120001439",".",".","000000445","","","","","","","","","","","",""
"Bohusskolan","11043800","Ale","1440","Kommunal","Alekommun","2120001439","000000038","44.7","000000547","","","","","","","","","","","",""
"DaVinciskolanA-C","71893438","Ale","1440","Kommunal","Alekommun","2120001439",".",".","000000227","","","","","","","","","","","",""
"DaVinciskolanD-F","71729095","Ale","1440","Kommunal","Alekommun","2120001439",".",".","000000217","","","","","","","","","","","",""
"Garnvindeskolan","97093265","Ale","1440","Kommunal","Alekommun","2120001439","000000060","58.3","000000204","","","","","","","","","","","",""
"Himlaskolan","54807007","Ale","1440","Kommunal","Alekommun","2120001439","000000024","45.8","000000140","","","","","","","","","","","",""
"Kronaskolan4-6","58798062","Ale","1440","Kommunal","Alekommun","2120001439",".",".","000000288","","","","","","","","","","","",""
"KronaskolanF-3","59239104","Ale","1440","Kommunal","Alekommun","2120001439","000000132","49.2","000000350","","","","","","","","","","","",""
"Kyrkbyskolan","16944234","Ale","1440","Kommunal","Alekommun","2120001439",".",".","000000320","","","","","","","","","","","",""
"Nolskolan","12789480","Ale","1440","Kommunal","Alekommun","2120001439","000000050","56","000000291","","","","","","","","","","","",""
"Nödingeskolan","22564015","Ale","1440","Kommunal","Alekommun","2120001439","000000094","47.9","000000295","","","","","","","","","","","",""
"Surteskolan","81439850","Ale","1440","Kommunal","Alekommun","2120001439","000000037","35.1","000000236","","","","","","","","","","","",""
"GustavAdolfsskolan","74064638","Alingsås","1489","Kommunal","Alingsåskommun","2120001553",".",".","000000335","","","","","","","","","","","",""
"HemsjöKyrkskola","63452058","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000021","47.6","000000149","","","","","","","","","","","",""
"Ingaredsskolan","49115714","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000039","35.9","000000235","","","","","","","","","","","",""
"Kullingsbergsskolan","78832157","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000050","46","000000232","","","","","","","","","","","",""
"LendahlsskolanF-6","34338735","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000048","50","000000224","","","","","","","","","","","",""
"Linnéskolan","32478204","Alingsås","1489","Enskild","AlingsåsWaldorfskoleförening","8640010511","000000006","..","000000019","","","","","","","","","","","",""
"Långaredsskola","28639614","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000017","..","000000100","","","","","","","","","","","",""
"Magraskola","78273632","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000005","..","000000049","","","","","","","","","","","",""
"MontessoriskolanGloben","87109819","Alingsås","1489","Enskild","AlingsåsMontessoriSkolaGloben","8640009794","000000033","51.5","000000373","","","","","","","","","","","",""
"Nolbyskolan","46546067","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000049","53.1","000000288","","","","","","","","","","","",""
"Nolhagaskolan","84581048","Alingsås","1489","Kommunal","Alingsåskommun","2120001553",".",".","000000426","","","","","","","","","","","",""
"Noltorpsskolan4-6","87146353","Alingsås","1489","Kommunal","Alingsåskommun","2120001553",".",".","000000195","","","","","","","","","","","",""
"NoltorpsskolanF-3","86435318","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000067","40.3","000000208","","","","","","","","","","","",""
"SollebrunnsskolaF-9","76908037","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000026","50","000000338","","","","","","","","","","","",""
"Stadsskogenskolan","38957274","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000053","49.1","000000319","","","","","","","","","","","",""
"StoraMellbyskola","90924483","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000012","..","000000081","","","","","","","","","","","",""
"VittraGerdsken","98272016","Alingsås","1489","Enskild","VittraskolornaAB","5564586716","000000044","54.5","000000444","","","","","","","","","","","",""
"VästraBodarnaskola","71895385","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000026","57.7","000000131","","","","","","","","","","","",""
"ÄngaboskolanF-6","57136802","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000052","50","000000315","","","","","","","","","","","",""
"Ödenässkola","70153094","Alingsås","1489","Kommunal","Alingsåskommun","2120001553","000000005","..","000000043","","","","","","","","","","","",""
"Östlyckeskolan7-9","63399058","Alingsås","1489","Kommunal","Alingsåskommun","2120001553",".",".","000000403","","","","","","","","","","","",""
"FriskolanKronobergshed","79378495","Alvesta","0764","Enskild","FriskolanKronobergshedEk.för.","7696124531","000000002","..","000000044","","","","","","","","","","","",""
"Grönkullaskolan","66644840","Alvesta","0764","Kommunal","Alvestakommun","2120000639","000000073","46.6","000000360","","","","","","","","","","","",""
"Hagaskolan","67183147","Alvesta","0764","Kommunal","Alvestakommun","2120000639",".",".","000000465","","","","","","","","","","","",""
"Hjortsbergaskolan","36322706","Alvesta","0764","Kommunal","Alvestakommun","2120000639","000000022","..","000000081","","","","","","","","","","","",""
"Mohedaskolan","69699568","Alvesta","0764","Kommunal","Alvestakommun","2120000639","000000046","56.5","000000432","","","","","","","","","","","",""
"Prästängsskolan","59234401","Alvesta","0764","Kommunal","Alvestakommun","2120000639","000000088","43.2","000000358","","","","","","","","","","","",""
"Skatelövsskolan","55218290","Alvesta","0764","Kommunal","Alvestakommun","2120000639","000000032","37.5","000000139","","","","","","","","","","","",""
"Vislandaskolan","88176175","Alvesta","0764","Kommunal","Alvestakommun","2120000639","000000031","41.9","000000394","","","","","","","","","","","",""
"Furulidskolan","88669294","Aneby","0604","Kommunal","Anebykommun","2120000498",".",".","000000316","","","","","","","","","","","",""
"Oasensskola","48000763","Aneby","0604","Enskild","OasenUtbildningscenterAB","5566501796",".",".","000000017","","","","","","","","","","","",""
"Parkskolan","29991409","Aneby","0604","Kommunal","Anebykommun","2120000498","000000038","50","000000104","","","","","","","","","","","",""
"Sunhultskola","72916171","Aneby","0604","Kommunal","Anebykommun","2120000498","000000013","..","000000059","","","","","","","","","","","",""
"Tallbackaskolan","34811255","Aneby","0604","Kommunal","Anebykommun","2120000498","000000024","41.7","000000185","","","","","","","","","","","",""
"Viredaskola","81763314","Aneby","0604","Kommunal","Anebykommun","2120000498","000000015","..","000000064","","","","","","","","","","","",""
"Brattbergsskolan","77132043","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000036","58.3","000000112","","","","","","","","","","","",""
"Gäddgårdsskolan7-9","65483259","Arboga","1984","Kommunal","Arbogakommun","2120002122",".",".","000000221","","","","","","","","","","","",""
"GäddgårdsskolanF-6","40576446","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000038","52.6","000000318","","","","","","","","","","","",""
"Götlundaskola","56897691","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000017","..","000000088","","","","","","","","","","","",""
"Ladubacksskolan","76878404","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000049","51","000000219","","","","","","","","","","","",""
"MedåkersFriskola","53910317","Arboga","1984","Enskild","MedåkersFriskolaEkonomiskförening","7696383129","000000004","..","000000037","","","","","","","","","","","",""
"Nybyholmsskolan","80553326","Arboga","1984","Kommunal","Arbogakommun","2120002122","000000020","..","000000099","","","","","","","","","","","",""
